nome,genero,data_nascimento,presença_plenario,ausencia_justificada_plenario,ausencia_plenario,presença_comissao,ausencia_justificada_comissao,ausencia_comissao,gasto_total_par,gasto_jan_par,gasto_fev_par,gasto_mar_par,gasto_abr_par,gasto_mai_par,gasto_jun_par,gasto_jul_par,gasto_ago_par,gasto_set_par,gasto_out_par,gasto_nov_par,gasto_dez_par,salario_bruto_par,gasto_total_gab,gasto_jan_gab,gasto_fev_gab,gasto_mar_gab,gasto_abr_gab,gasto_mai_gab,gasto_jun_gab,gasto_jul_gab,gasto_ago_gab,gasto_set_gab,gasto_out_gab,gasto_nov_gab,gasto_dez_gab,salario_bruto,quant_viagem,avatar
ANDRE DOS SANTOS ABDON,M,10/11/1970,90 dias,0 dias,2 dias,5 reuniões,0 reuniões,40 reuniões,395002.58,39635.39,56554.49,50324.98,62832.08,41453.8,28539.51,28094.2,30183.38,21085.68,35783.42,515.65,NaN,477122.58,1110523.74,39635.39,56554.49,50324.98,62832.08,41453.8,28539.51,28094.2,30183.38,21085.68,35783.42,515.65,NaN,33763.0,0,https://www.camara.leg.br/internet/deputado/bandep/pagina_do_deputado/178831.jpg
ANDRÉ FERREIRA RODRIGUES,M,10/12/1972,71 dias,14 dias,7 dias,2 reuniões,0 reuniões,0 reuniões,390096.36,45126.24,53733.48,58912.22,30040.51,48678.14,39121.05,35898.03,34422.07,27181.46,11714.58,5268.58,NaN,460888.98,1115031.78,45126.24,53733.48,58912.22,30040.51,48678.14,39121.05,35898.03,34422.07,27181.46,11714.58,5268.58,NaN,33763.0,0,https://www.camara.leg.br/internet/deputado/bandep/pagina_do_deputado/204423.jpg
AMARO ROCHA NASCIMENTO NETO,M,04/12/1976,92 dias,0 dias,0 dias,20 reuniões,0 reuniões,7 reuniões,265774.24,42292.73,23497.16,34426.77,47806.82,44977.07,20179.17,24764.49,7547.57,18792.57,1283.24,206.65,NaN,411663.01,1112084.94,42292.73,23497.16,34426.77,47806.82,44977.07,20179.17,24764.49,7547.57,18792.57,1283.24,206.65,NaN,33763.0,0,https://www.camara.leg.br/internet/deputado/bandep/pagina_do_deputado/204356.jpg
ANDRÉ PEIXOTO FIGUEIREDO LIMA,M,10/11/1966,87 dias,5 dias,0 dias,72 reuniões,9 reuniões,23 reuniões,390475.75,34462.62,48224.65,72127.49,49023.71,44041.52,37230.57,31041.15,43503.48,14392.69,16427.87,0.0,NaN,466969.47,1100603.8,34462.62,48224.65,72127.49,49023.71,44041.52,37230.57,31041.15,43503.48,14392.69,16427.87,0.0,NaN,33763.0,0,https://www.camara.leg.br/internet/deputado/bandep/pagina_do_deputado/133439.jpg
ANDRE LUIZ CARVALHO RIBEIRO,M,27/08/1989,63 dias,29 dias,0 dias,2 reuniões,1 reuniões,8 reuniões,287130.16,24003.48,26127.61,39048.96,35638.26,42647.02,37783.22,29531.6,32503.83,19437.13,409.05,0.0,NaN,472052.02999999997,1108487.53,24003.48,26127.61,39048.96,35638.26,42647.02,37783.22,29531.6,32503.83,19437.13,409.05,0.0,NaN,33763.0,0,https://www.camara.leg.br/internet/deputado/bandep/pagina_do_deputado/178882.jpg
ANDRE LUIS GASPAR JANONES,M,05/05/1984,87 dias,1 dias,4 dias,50 reuniões,1 reuniões,12 reuniões,293481.99,22256.52,30867.91,30909.27,30603.82,51016.32,28645.22,24293.97,28516.35,25058.33,21091.08,223.2,NaN,411903.25,1113576.56,22256.52,30867.91,30909.27,30603.82,51016.32,28645.22,24293.97,28516.35,25058.33,21091.08,223.2,NaN,33763.0,0,https://www.camara.leg.br/internet/deputado/bandep/pagina_do_deputado/204515.jpg
ANÍBAL FERREIRA GOMES,M,07/06/1953,0 dias,0 dias,0 dias,0 reuniões,0 reuniões,0 reuniões,2700.08,2700.08,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2738.8199999999997,7198.37,2700.08,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,33763.0,0,https://www.camara.leg.br/internet/deputado/bandep/74212.jpgmaior.jpg
ANTONIO LUIZ PARANHOS RIBEIRO LEITE DE BRITO,M,17/01/1969,92 dias,0 dias,0 dias,9 reuniões,0 reuniões,22 reuniões,362052.15,38429.43,62878.28,57315.01,50615.34,39459.44,46092.84,38070.01,25431.95,1872.37,1887.48,0.0,NaN,429119.35000000003,1112297.24,38429.43,62878.28,57315.01,50615.34,39459.44,46092.84,38070.01,25431.95,1872.37,1887.48,0.0,NaN,33763.0,0,https://www.camara.leg.br/internet/deputado/bandep/pagina_do_deputado/160553.jpg
ARLINDO CHIGNALIA JUNIOR,M,24/12/1949,86 dias,6 dias,0 dias,17 reuniões,2 reuniões,4 reuniões,245624.39,19052.73,30374.76,36361.36,25872.86,41568.9,29151.95,23823.6,23079.38,9806.38,6532.47,0.0,NaN,412163.52,1106682.95,19052.73,30374.76,36361.36,25872.86,41568.9,29151.95,23823.6,23079.38,9806.38,6532.47,0.0,NaN,33763.0,,https://www.camara.leg.br/internet/deputado/bandep/pagina_do_deputado/73433.jpg
ARNALDO CALIL PEREIRA JARDIM,M,08/05/1955,85 dias,6 dias,1 dias,15 reuniões,10 reuniões,14 reuniões,328664.61,37823.57,38275.84,51482.16,49828.38,44393.29,33383.18,26614.91,20321.4,23947.5,2558.33,36.05,NaN,407478.82999999996,1103931.04,37823.57,38275.84,51482.16,49828.38,44393.29,33383.18,26614.91,20321.4,23947.5,2558.33,36.05,NaN,33763.0,,https://www.camara.leg.br/internet/deputado/bandep/pagina_do_deputado/141391.jpg
